stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1339,1339,"Rt 99 at Oliver Rd",,41.9358673096,-80.12693,,,0,,0
134,134,"W 10th St at Washington Pl",,42.1151351929,-80.110565,,,0,,0
1340,1340,"Rt 99 at Old State Rd",,41.933719635,-80.12661,,,0,,0
1342,1342,"Rt 99 at Washington Dr-GM School OB",,41.9156112671,-80.125061,,,0,,0
1343,1343,"Rt 99 at Crane Rd-OB",,41.9023361206,-80.126297,,,0,,0
1346,1346,"Rt 99 at 6N-OB",,41.8758621216,-80.131683,,,0,,0
135,135,"W 10th St at Cranberry St",,42.1160163879,-80.108162,,,0,,0
1351,1351,"Erie St at E Plum St",,41.8757362366,-80.131645,,,0,,0
1352,1352,"Walker Bros-IB",,41.8900985718,-80.127502,,,0,,0
1353,1353,"Cunningham Dodge",,41.8931541443,-80.127151,,,0,,0
1354,1354,"Rt 99 at Crane Rd-IB",,41.902217865,-80.126236,,,0,,0
1355,1355,"Rt 99 at  Leacock Rd",,41.9091644287,-80.125595,,,0,,0
1356,1356,"GM School-IB",,41.9156646729,-80.124962,,,0,,0
1357,1357,"Rt 99 at Neyland Rd",,41.9208869934,-80.124596,,,0,,0
1358,1358,"Rt 99 at Oliver Rd-IB",,41.9356651306,-80.126846,,,0,,0
1359,1359,"Rt 99 at Golden Rd",,41.9668540955,-80.13958,,,0,,0
136,136,"W 10th St at Raspberry St",,42.1168937683,-80.105789,,,0,,0
1360,1360,"Rt 99 at Greenlee Rd",,41.9894523621,-80.142693,,,0,,0
1361,1361,"Rt 99 at West Rd",,41.9965248108,-80.143257,,,0,,0
1362,1362,"Rt 99 at Bargain Rd-IB",,42.0170822144,-80.128448,,,0,,0
1364,1364,"Erepa Grotto Park-IB",,42.0313034058,-80.114174,,,0,,0
1365,1365,"Rt 99 at Pagan Rd",,42.0355377197,-80.112831,,,0,,0
1366,1366,"Interstate Mitsubishi",,42.0545272827,-80.105949,,,0,,0
1367,1367,"Rt 99 at interchange Rd-IB",,42.0640983582,-80.098831,,,0,,0
1368,1368,"Rt 19 at Robinson Rd-OB",,42.043838501,-80.074959,,,0,,0
1369,1369,"Rt 19 at Dorn Rd",,42.0325546265,-80.063049,,,0,,0
137,137,"W 10th St at Cascade St",,42.1177711487,-80.103409,,,0,,0
1370,1370,"Rt 19 at New Rd",,42.0199890137,-80.05172,,,0,,0
1371,1371,"Rt 19 at Sharp Rd",,41.9967346191,-80.030602,,,0,,0
1372,1372,"Rt 19 at Trask Rd-OB",,41.9767074585,-80.011269,,,0,,0
1373,1373,"Waterford Car Dealership",,41.9531364441,-79.992783,,,0,,0
1374,1374,"Waterford Square-OB",,41.9426651001,-79.984489,,,0,,0
1375,1375,"Waterford Tops",,41.9385032654,-79.982124,,,0,,0
1376,1376,"Rt 97 at Flatts Rd",,41.9322166443,-79.974403,,,0,,0
1377,1377,"Sunset Drive In-OB",,41.9274024963,-79.95726,,,0,,0
1378,1378,"Rt 97 at Short Hare Rd",,41.9094161987,-79.905304,,,0,,0
1379,1379,"Rt 97 at Union Leboeuf Rd",,41.905166626,-79.885887,,,0,,0
138,138,"W 10th St at Plum St",,42.1186523438,-80.101028,,,0,,0
1380,1380,"Rt 97 at Rt 8 - Country Fair Union City",,41.9018363953,-79.845726,,,0,,0
1382,1382,"Union City",,41.8996543884,-79.843475,,,0,,0
1383,1383,"Rt 6 at Mitchell Rd",,41.9045944214,-79.821526,,,0,,0
1384,1384,"Rt 6 at Elgin Rd",,41.9135704041,-79.800293,,,0,,0
1385,1385,"Rt 6 at Rt 89 Intersection-OB",,41.9182701111,-79.743965,,,0,,0
1386,1386,"Corry Auto Auction",,41.917842865,-79.716965,,,0,,0
1387,1387,"Rt 6 at W Washington St Ext",,41.9273033142,-79.680855,,,0,,0
1388,1388,"Rt 6 at W Smith St Ext",,41.9313468933,-79.66993,,,0,,0
1389,1389,"Corry Plaza-OB",,41.9352912903,-79.654816,,,0,,0
1398,1398,"Humes Ford",,41.9335746765,-79.661522,,,0,,0
1399,1399,"Rt6 at Hatchery Rd",,41.9315567017,-79.669617,,,0,,0
14,14,"Science Center at Behrend College Dr",,42.120094,-79.988278,,,0,,0
140,140,"Wegmans West",,42.0693130493,-80.189468,,,0,,0
1400,1400,"Rt 6 at Conelway Rd",,41.927570343,-79.680565,,,0,,0
1401,1401,"Rt 6 at King Rd",,41.917881012,-79.71257,,,0,,0
1402,1402,"Rt 6 And Rt 89 Intersection-IB",,41.9183998108,-79.743309,,,0,,0
1403,1403,"Rt 6 at Hoyt Rd",,41.9136352539,-79.800293,,,0,,0
1404,1404,"Tops Market",,41.9003448486,-79.845337,,,0,,0
1405,1405,"Union City McDonalds",,41.9006690979,-79.845459,,,0,,0
1406,1406,"Rt 97 at Rt 8 NB",,41.9019737244,-79.845985,,,0,,0
1407,1407,"Rt 97 at Kimball Hill Rd",,41.9032096863,-79.860847,,,0,,0
1408,1408,"Rt 97 at Middleton Rd",,41.9073219299,-79.893646,,,0,,0
1409,1409,"Rt 97 at Hare Rd IB",,41.9181022644,-79.920349,,,0,,0
141,141,"Walmart",,42.0667381287,-80.194275,,,0,,0
1410,1410,"Sunset Drive in Waterford-IB",,41.9273071289,-79.956474,,,0,,0
1411,1411,"Rt 97 at Flatts Rd-IB",,41.9323043823,-79.974205,,,0,,0
1412,1412,"A. Caplan Company",,41.9371528625,-79.981583,,,0,,0
1413,1413,"High St at E 1st St",,41.9404754639,-79.982841,,,0,,0
1414,1414,"Waterford Square-INB",,41.9424324036,-79.984093,,,0,,0
1415,1415,"Rt 19 at Rolling Meadow Dr",,41.9618453979,-79.998558,,,0,,0
1416,1416,"Rt 19 at Talcott Rd",,41.9737205505,-80.007927,,,0,,0
1417,1417,"Coventina Day Spa",,41.9870986938,-80.021507,,,0,,0
1418,1418,"Rt 19 at Elk Creek Rd",,42.0039596558,-80.036667,,,0,,0
