route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
27,45,t53C-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9255_shp,0,0
27,45,t587-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9429_shp,0,0
27,45,t5AA-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9255_shp,0,0
27,45,t5F5-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9463_shp,0,0
27,45,t640-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9255_shp,0,0
27,45,t663-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9463_shp,0,0
27,45,t6AE-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9255_shp,0,0
27,45,t6CD-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9469_shp,0,0
27,45,t718-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9239_shp,0,0
27,45,t737-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9426_shp,0,0
27,45,t782-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9239_shp,0,0
27,45,t7A1-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9469_shp,0,0
27,45,t7EC-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9239_shp,0,0
27,45,t80B-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9469_shp,0,0
27,45,t853-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9239_shp,0,0
27,45,t86D-b25D-sl2D,"STATE- VA-PRESQUE ISLE DOWNS",0,605,9469_shp,0,0
27,45,t8B6-b25D-sl2D,"PRESQUE ISLE DOWNS - STATE - D. TOWN",1,605,9239_shp,0,0
28,39,t258-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t274-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t293-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9456_shp,0,0
28,39,t2D9-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t321-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t342-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t386-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9456_shp,0,0
28,39,t3A7-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t3F1-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t412-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9405_shp,0,0
28,39,t456-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9401_shp,0,0
28,39,t477-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t4C1-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t4E2-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t524-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9456_shp,0,0
28,39,t545-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t591-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9401_shp,0,0
28,39,t5B2-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t5F4-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9401_shp,0,0
28,39,t615-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
28,39,t661-b2C6-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,710,9456_shp,0,0
28,39,t6AA-b2C6-sl27,"AGILITY - W 29 - D. TOWN",1,710,9243_shp,0,0
28,39,t6C1-b2C7-sl27,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,711,9456_shp,0,0
28,39,t70A-b2C7-sl27,"AGILITY - W 29 - D. TOWN",1,711,9243_shp,0,0
